transaction_id,amount,transaction_time,merchant_category,device_type,is_international,distance_from_home,credit_score,is_fraud
489,1900.87,8,Groceries,Mobile,0,468.55,311,1
490,1780.64,9,Groceries,Web,0,410.96,425,1
491,911.86,19,Online Services,Mobile,0,404.59,630,0
492,1240.65,20,Fuel,Web,0,442.21,582,0
493,555.48,8,Electronics,Web,1,350.02,439,1
494,377.05,2,Clothing,POS Terminal,0,52.2,700,0
495,927.93,19,Online Services,Web,0,199.55,396,0
496,707.35,10,Electronics,Mobile,0,361.57,816,0
497,1167.73,5,Online Services,Mobile,0,140.17,368,0
498,156.39,1,Online Services,Web,0,343.7,417,1
499,1948.82,6,Clothing,POS Terminal,0,12.25,358,1
500,1972.44,17,Fuel,POS Terminal,0,153.07,332,1
